Station	Latitude	Longitude	Area
02ED022	44.739	-79.637	NA
02ED023	44.768	-79.620	NA
02ED024	44.768	-79.578	244.00
02ED024	44.768	-79.578	244.00
02ED024	44.768	-79.578	244.00
02ED025	44.501	-80.238	30.50
02ED025	44.501	-80.238	30.50
02ED026	44.025	-79.970	176.00
02ED026	44.025	-79.970	176.00
02ED027	44.485	-79.966	2690.00
02ED027	44.485	-79.966	2690.00
02ED027	44.485	-79.966	2690.00
02ED028	44.668	-79.457	24.00
02ED028	44.668	-79.457	24.00
02ED029	44.131	-79.781	479.00
02ED029	44.131	-79.781	479.00
02ED030	44.647	-79.452	10.50
02ED030	44.647	-79.452	10.50
02ED031	44.500	-80.199	68.20
02ED031	44.500	-80.199	68.20
02ED032	44.443	-79.799	231.00
02ED032	44.443	-79.799	231.00
02ED033	44.753	-79.888	NA
02ED100	44.049	-79.803	86.00
02ED100	44.049	-79.803	86.00
02ED101	44.111	-79.890	328.00
02ED101	44.111	-79.890	328.00
02ED102	44.153	-79.897	216.00
02ED102	44.153	-79.897	216.00
02FA001	44.678	-81.256	913.00
02FA001	44.678	-81.256	913.00
02FA001	44.678	-81.256	913.00
02FA002	45.037	-81.336	50.50
02FA002	45.037	-81.336	50.50
02FA002	45.037	-81.336	50.50
02FA003	45.257	-81.663	NA
02FA004	44.536	-81.178	312.00
02FA004	44.536	-81.178	312.00
02FA005	44.462	-81.149	233.00
02FB001	44.339	-80.539	254.00
02FB003	44.344	-80.539	262.00
02FB004	44.321	-80.400	81.60
02FB005	44.604	-80.597	342.00
02FB006	44.450	-80.447	127.00
02FB007	44.522	-80.930	183.00
02FB007	44.522	-80.930	183.00
02FB007	44.522	-80.930	183.00
02FB008	44.300	-80.517	179.00
02FB009	44.520	-80.468	587.00
02FB009	44.520	-80.468	587.00
02FB009	44.520	-80.468	587.00
02FB010	44.570	-80.648	298.00
02FB010	44.570	-80.648	298.00
02FB010	44.570	-80.648	298.00
02FB012	44.464	-80.486	105.00
02FB012	44.464	-80.486	105.00
02FB013	44.346	-80.540	279.00
02FB013	44.346	-80.540	279.00
02FB014	44.472	-80.777	56.20
02FB014	44.472	-80.777	56.20
02FC001	44.456	-81.326	3950.00
02FC001	44.456	-81.326	3950.00
02FC001	44.456	-81.326	3950.00
02FC001	44.456	-81.326	3950.00
02FC001	44.456	-81.326	3950.00
02FC001	44.456	-81.326	3950.00
02FC002	44.120	-81.115	2140.00
02FC002	44.120	-81.115	2140.00
02FC004	44.262	-80.766	249.00
02FC005	44.326	-80.662	109.00
02FC009	44.312	-80.657	9.32
02FC011	44.113	-81.019	156.00
02FC011	44.113	-81.019	156.00
02FC012	44.099	-80.985	635.00
02FC012	44.099	-80.985	635.00
02FC013	44.318	-81.246	262.00
02FC014	44.192	-80.857	381.00
02FC015	44.268	-81.269	670.00
02FC015	44.268	-81.269	670.00
02FC016	44.185	-80.787	329.00
02FC016	44.185	-80.787	329.00
02FC017	44.090	-80.742	50.70
02FC017	44.090	-80.742	50.70
02FC018	44.318	-81.041	216.00
02FC019	44.407	-80.763	59.80
02FC019	44.407	-80.763	59.80
02FC020	44.001	-81.284	125.00
02FC020	44.001	-81.284	125.00
02FC021	44.161	-80.929	99.90
02FC021	44.161	-80.929	99.90
02FD001	44.095	-81.726	156.00
02FD001	44.095	-81.726	156.00
02FD001	44.095	-81.726	156.00
02FD002	43.965	-81.513	54.90
02FD002	43.965	-81.513	54.90
02FD002	43.965	-81.513	54.90
02FD002	43.965	-81.513	54.90
02FD002	43.965	-81.513	54.90
02FD002	43.965	-81.513	54.90
02FD003	44.173	-81.631	100.00
02FD003	44.173	-81.631	100.00
02FE001	43.718	-81.626	2460.00
02FE002	43.887	-81.326	1640.00
02FE002	43.887	-81.326	1640.00
02FE003	43.727	-80.973	73.40
02FE003	43.727	-80.973	73.40
02FE004	43.825	-81.491	1760.00
02FE004	43.825	-81.491	1760.00
02FE004	43.825	-81.491	1760.00
02FE004	43.825	-81.491	1760.00
02FE005	43.915	-81.264	527.00
02FE005	43.915	-81.264	527.00
02FE007	43.854	-81.251	340.00
02FE007	43.854	-81.251	340.00
02FE008	43.813	-81.307	645.00
02FE008	43.813	-81.307	645.00
02FE009	43.684	-81.541	371.00
02FE009	43.684	-81.541	371.00
02FE009	43.684	-81.541	371.00
02FE009	43.684	-81.541	371.00
02FE009	43.684	-81.541	371.00
02FE010	43.676	-81.075	205.00
02FE010	43.676	-81.075	205.00
02FE011	43.904	-80.893	112.00
02FE011	43.904	-80.893	112.00
02FE012	43.745	-81.728	NA
02FE013	43.718	-81.125	416.00
02FE013	43.718	-81.125	416.00
02FE014	43.760	-81.463	74.70
02FE014	43.760	-81.463	74.70
02FE015	43.718	-81.626	2540.00
02FE015	43.718	-81.626	2540.00
02FE015	43.718	-81.626	2540.00
02FE016	43.579	-81.401	178.00
02FE016	43.579	-81.401	178.00
02FE017	43.893	-81.063	79.40
02FE017	43.893	-81.063	79.40
02FE018	43.895	-81.037	NA
02FE018	43.895	-81.037	NA
02FF001	43.078	-81.796	NA
02FF002	43.072	-81.660	865.00
02FF002	43.072	-81.660	865.00
02FF002	43.072	-81.660	865.00
02FF002	43.072	-81.660	865.00
02FF002	43.072	-81.660	865.00
02FF002	43.072	-81.660	865.00
02FF003	43.170	-81.683	124.00
02FF004	43.161	-81.732	42.70
02FF004	43.161	-81.732	42.70
02FF005	43.217	-81.746	28.50
02FF006	43.272	-81.750	33.70
02FF007	43.551	-81.590	460.00
02FF007	43.551	-81.590	460.00
02FF007	43.551	-81.590	460.00
02FF008	43.164	-81.632	113.00
02FF008	43.164	-81.632	113.00
02FF008	43.164	-81.632	113.00
02FF009	43.362	-81.509	114.00
02FF009	43.362	-81.509	114.00
02FF010	43.193	-81.814	1110.00
02FF011	43.545	-81.396	15.50
02FF011	43.545	-81.396	15.50
02FF012	42.984	-82.319	75.60
02FF012	42.984	-82.319	75.60
02FF013	43.181	-81.448	144.00
02FF013	43.181	-81.448	144.00
02FF014	43.419	-81.495	18.40
02FF014	43.419	-81.495	18.40
02FF015	43.590	-81.584	22.10
02FF015	43.590	-81.584	22.10
02FF016	43.286	-81.416	63.90
02FF016	43.286	-81.416	63.90
02GA001	43.790	-80.317	769.00
02GA002	43.541	-80.494	1420.00
02GA003	43.353	-80.316	3520.00
02GA003	43.353	-80.316	3520.00
02GA003	43.353	-80.316	3520.00
02GA003	43.353	-80.316	3520.00
02GA003	43.353	-80.316	3520.00
02GA004	43.277	-80.347	3600.00
02GA005	43.694	-80.445	168.00
02GA005	43.694	-80.445	168.00
02GA006	43.541	-80.553	790.00
02GA006	43.541	-80.553	790.00
02GA007	43.612	-80.249	180.00
02GA008	43.432	-80.311	707.00
02GA009	43.360	-80.310	117.00
02GA010	43.190	-80.455	1030.00
02GA010	43.190	-80.455	1030.00
02GA010	43.190	-80.455	1030.00
02GA010	43.190	-80.455	1030.00
02GA010	43.190	-80.455	1030.00
02GA011	43.533	-80.233	500.00
02GA012	43.593	-80.245	233.00
02GA013	43.524	-80.515	821.00
02GA014	43.862	-80.272	663.00
02GA014	43.862	-80.272	663.00
02GA014	43.862	-80.272	663.00
02GA015	43.534	-80.252	568.00
02GA015	43.534	-80.252	568.00
02GA016	43.731	-80.341	785.00
02GA016	43.731	-80.341	785.00
02GA017	43.757	-80.671	324.00
02GA018	43.377	-80.711	544.00
02GA018	43.377	-80.711	544.00
02GA020	43.559	-80.267	269.00
02GA022	43.897	-80.284	655.00
02GA023	43.580	-80.509	114.00
02GA023	43.580	-80.509	114.00
02GA023	43.580	-80.509	114.00
02GA023	43.580	-80.509	114.00
02GA023	43.580	-80.509	114.00
02GA023	43.580	-80.509	114.00
02GA024	43.472	-80.514	59.20
02GA024	43.472	-80.514	59.20
02GA027	43.829	-80.299	749.00
02GA028	43.655	-80.702	571.00
02GA028	43.655	-80.702	571.00
02GA029	43.548	-80.182	231.00
02GA029	43.548	-80.182	231.00
02GA030	43.372	-80.551	47.40
02GA030	43.372	-80.551	47.40
02GA031	43.576	-80.109	41.50
02GA031	43.576	-80.109	41.50
02GA031	43.576	-80.109	41.50
02GA032	43.531	-80.305	2.51
02GA032	43.531	-80.305	2.51
02GA032	43.531	-80.305	2.51
02GA032	43.531	-80.305	2.51
02GA032	43.531	-80.305	2.51
02GA033	43.663	-80.255	64.80
02GA034	43.585	-80.481	1170.00
02GA034	43.585	-80.481	1170.00
02GA035	43.651	-80.572	27.70
02GA035	43.651	-80.572	27.70
02GA035	43.651	-80.572	27.70
02GA035	43.651	-80.572	27.70
02GA035	43.651	-80.572	27.70
02GA036	43.670	-80.597	17.90
02GA036	43.670	-80.597	17.90
02GA036	43.670	-80.597	17.90
